StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
SNS,M,65,MON FNF,1958-04-01,1958-04-30T07:00:00Z,282130,,AF
SNS,M,65,MON FNF,1958-05-01,1958-05-31T07:00:00Z,567730,,AF
SNS,M,65,MON FNF,1958-06-01,1958-06-30T07:00:00Z,324990,,AF
SNS,M,65,MON FNF,1958-07-01,1958-07-31T07:00:00Z,100380,,AF
SNS,M,65,MON FNF,1958-08-01,1958-08-31T07:00:00Z,27110,,AF
SNS,M,65,MON FNF,1958-09-01,1958-09-30T08:00:00Z,4750,,AF
SNS,M,65,MON FNF,1958-10-01,1958-10-31T08:00:00Z,11650,,AF
SNS,M,65,MON FNF,1958-11-01,1958-11-30T08:00:00Z,10790,,AF
SNS,M,65,MON FNF,1958-12-01,1958-12-31T08:00:00Z,7590,,AF
SNS,M,65,MON FNF,1959-01-01,1959-01-31T08:00:00Z,36770,,AF
SNS,M,65,MON FNF,1959-02-01,1959-02-28T08:00:00Z,66380,,AF
SNS,M,65,MON FNF,1959-03-01,1959-03-31T08:00:00Z,86970,,AF
SNS,M,65,MON FNF,1959-04-01,1959-04-30T07:00:00Z,148120,,AF
SNS,M,65,MON FNF,1959-05-01,1959-05-31T07:00:00Z,114680,,AF
SNS,M,65,MON FNF,1959-06-01,1959-06-30T07:00:00Z,67960,,AF
SNS,M,65,MON FNF,1959-07-01,1959-07-31T07:00:00Z,16660,,AF
SNS,M,65,MON FNF,1959-08-01,1959-08-31T07:00:00Z,3590,,AF
SNS,M,65,MON FNF,1959-09-01,1959-09-30T08:00:00Z,12870,,AF
SNS,M,65,MON FNF,1959-10-01,1959-10-31T08:00:00Z,6350,,AF
SNS,M,65,MON FNF,1959-11-01,1959-11-30T08:00:00Z,4730,,AF
SNS,M,65,MON FNF,1959-12-01,1959-12-31T08:00:00Z,4970,,AF
SNS,M,65,MON FNF,1960-01-01,1960-01-31T08:00:00Z,14370,,AF
SNS,M,65,MON FNF,1960-02-01,1960-02-29T08:00:00Z,61150,,AF
SNS,M,65,MON FNF,1960-03-01,1960-03-31T08:00:00Z,101690,,AF
SNS,M,65,MON FNF,1960-04-01,1960-04-30T07:00:00Z,160870,,AF
SNS,M,65,MON FNF,1960-05-01,1960-05-31T07:00:00Z,156610,,AF
SNS,M,65,MON FNF,1960-06-01,1960-06-30T07:00:00Z,71290,,AF
SNS,M,65,MON FNF,1960-07-01,1960-07-31T07:00:00Z,9980,,AF
SNS,M,65,MON FNF,1960-08-01,1960-08-31T07:00:00Z,1340,,AF
SNS,M,65,MON FNF,1960-09-01,1960-09-30T08:00:00Z,630,,AF
SNS,M,65,MON FNF,1960-10-01,1960-10-31T08:00:00Z,0,,AF
SNS,M,65,MON FNF,1960-11-01,1960-11-30T08:00:00Z,10900,,AF
SNS,M,65,MON FNF,1960-12-01,1960-12-31T08:00:00Z,11760,,AF
SNS,M,65,MON FNF,1961-01-01,1961-01-31T08:00:00Z,10040,,AF
SNS,M,65,MON FNF,1961-02-01,1961-02-28T08:00:00Z,24060,,AF
SNS,M,65,MON FNF,1961-03-01,1961-03-31T08:00:00Z,45980,,AF
SNS,M,65,MON FNF,1961-04-01,1961-04-30T08:00:00Z,107920,,AF
