StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
MRC,M,65,MON FNF,1964-06-01,1964-06-30T07:00:00Z,81170,,AF
MRC,M,65,MON FNF,1964-07-01,1964-07-31T07:00:00Z,14200,,AF
MRC,M,65,MON FNF,1964-08-01,1964-08-31T07:00:00Z,0,,AF
MRC,M,65,MON FNF,1964-09-01,1964-09-30T07:00:00Z,1320,,AF
MRC,M,65,MON FNF,1964-10-01,1964-10-31T08:00:00Z,2910,r,AF
MRC,M,65,MON FNF,1964-11-01,1964-11-30T08:00:00Z,20570,,AF
MRC,M,65,MON FNF,1964-12-01,1964-12-31T08:00:00Z,224400,,AF
MRC,M,65,MON FNF,1965-01-01,1965-01-31T08:00:00Z,174400,,AF
MRC,M,65,MON FNF,1965-02-01,1965-02-28T08:00:00Z,61380,,AF
MRC,M,65,MON FNF,1965-03-01,1965-03-31T08:00:00Z,68990,,AF
MRC,M,65,MON FNF,1965-04-01,1965-04-30T07:00:00Z,164800,,AF
MRC,M,65,MON FNF,1965-05-01,1965-05-31T07:00:00Z,258800,,AF
MRC,M,65,MON FNF,1965-06-01,1965-06-30T07:00:00Z,242300,,AF
MRC,M,65,MON FNF,1965-07-01,1965-07-31T07:00:00Z,95490,,AF
MRC,M,65,MON FNF,1965-08-01,1965-08-31T07:00:00Z,36940,,AF
MRC,M,65,MON FNF,1965-09-01,1965-09-30T07:00:00Z,9180,,AF
MRC,M,65,MON FNF,1965-10-01,1965-10-31T07:00:00Z,4960,,AF
MRC,M,65,MON FNF,1965-11-01,1965-11-30T08:00:00Z,72310,,AF
MRC,M,65,MON FNF,1965-12-01,1965-12-31T08:00:00Z,45940,,AF
MRC,M,65,MON FNF,1966-01-01,1966-01-31T08:00:00Z,40920,,AF
MRC,M,65,MON FNF,1966-02-01,1966-02-28T08:00:00Z,31680,,AF
MRC,M,65,MON FNF,1966-03-01,1966-03-31T08:00:00Z,64750,,AF
MRC,M,65,MON FNF,1966-04-01,1966-04-30T07:00:00Z,159200,,AF
MRC,M,65,MON FNF,1966-05-01,1966-05-31T07:00:00Z,182300,,AF
MRC,M,65,MON FNF,1966-06-01,1966-06-30T07:00:00Z,47180,,AF
MRC,M,65,MON FNF,1966-07-01,1966-07-31T07:00:00Z,11230,,AF
MRC,M,65,MON FNF,1966-08-01,1966-08-31T07:00:00Z,3990,,AF
MRC,M,65,MON FNF,1966-09-01,1966-09-30T07:00:00Z,4650,,AF
MRC,M,65,MON FNF,1966-10-01,1966-10-31T08:00:00Z,12240,,AF
MRC,M,65,MON FNF,1966-11-01,1966-11-30T08:00:00Z,14160,,AF
MRC,M,65,MON FNF,1966-12-01,1966-12-31T08:00:00Z,112400,,AF
MRC,M,65,MON FNF,1967-01-01,1967-01-31T08:00:00Z,60130,,AF
MRC,M,65,MON FNF,1967-02-01,1967-02-28T08:00:00Z,51430,,AF
MRC,M,65,MON FNF,1967-03-01,1967-03-31T08:00:00Z,167700,,AF
MRC,M,65,MON FNF,1967-04-01,1967-04-30T08:00:00Z,213100,,AF
MRC,M,65,MON FNF,1967-05-01,1967-05-31T07:00:00Z,362700,,AF
MRC,M,65,MON FNF,1967-06-01,1967-06-30T07:00:00Z,427900,,AF
MRC,M,65,MON FNF,1967-07-01,1967-07-31T07:00:00Z,236800,,AF
MRC,M,65,MON FNF,1967-08-01,1967-08-31T07:00:00Z,42500,,AF
MRC,M,65,MON FNF,1967-09-01,1967-09-30T07:00:00Z,14570,,AF
MRC,M,65,MON FNF,1967-10-01,1967-10-31T08:00:00Z,7300,,AF
MRC,M,65,MON FNF,1967-11-01,1967-11-30T08:00:00Z,8300,,AF
MRC,M,65,MON FNF,1967-12-01,1967-12-31T08:00:00Z,14400,,AF
MRC,M,65,MON FNF,1968-01-01,1968-01-31T08:00:00Z,16700,,AF
MRC,M,65,MON FNF,1968-02-01,1968-02-29T08:00:00Z,47600,,AF
MRC,M,65,MON FNF,1968-03-01,1968-03-31T08:00:00Z,47800,,AF
MRC,M,65,MON FNF,1968-04-01,1968-04-30T07:00:00Z,93900,,AF
MRC,M,65,MON FNF,1968-05-01,1968-05-31T07:00:00Z,121300,,AF
MRC,M,65,MON FNF,1968-06-01,1968-06-30T07:00:00Z,49600,,AF
MRC,M,65,MON FNF,1968-07-01,1968-07-31T07:00:00Z,10400,,AF
MRC,M,65,MON FNF,1968-08-01,1968-08-31T07:00:00Z,4400,,AF
MRC,M,65,MON FNF,1968-09-01,1968-09-30T07:00:00Z,4500,,AF
MRC,M,65,MON FNF,1968-10-01,1968-10-31T08:00:00Z,1700,,AF
MRC,M,65,MON FNF,1968-11-01,1968-11-30T08:00:00Z,22300,,AF
MRC,M,65,MON FNF,1968-12-01,1968-12-31T08:00:00Z,37100,,AF
MRC,M,65,MON FNF,1969-01-01,1969-01-31T08:00:00Z,346200,,AF
MRC,M,65,MON FNF,1969-02-01,1969-02-28T08:00:00Z,217000,,AF
MRC,M,65,MON FNF,1969-03-01,1969-03-31T08:00:00Z,162700,,AF
MRC,M,65,MON FNF,1969-04-01,1969-04-30T07:00:00Z,263500,,AF
MRC,M,65,MON FNF,1969-05-01,1969-05-31T07:00:00Z,565300,,AF
MRC,M,65,MON FNF,1969-06-01,1969-06-30T07:00:00Z,396100,,AF
MRC,M,65,MON FNF,1969-07-01,1969-07-31T07:00:00Z,142000,,AF
MRC,M,65,MON FNF,1969-08-01,1969-08-31T07:00:00Z,26200,,AF
MRC,M,65,MON FNF,1969-09-01,1969-09-30T07:00:00Z,8300,,AF
MRC,M,65,MON FNF,1969-10-01,1969-10-31T08:00:00Z,19400,,AF
MRC,M,65,MON FNF,1969-11-01,1969-11-30T08:00:00Z,18300,,AF
MRC,M,65,MON FNF,1969-12-01,1969-12-31T08:00:00Z,33600,,AF
MRC,M,65,MON FNF,1970-01-01,1970-01-31T08:00:00Z,158500,,AF
MRC,M,65,MON FNF,1970-02-01,1970-02-28T08:00:00Z,65200,,AF
MRC,M,65,MON FNF,1970-03-01,1970-03-31T08:00:00Z,109200,,AF
MRC,M,65,MON FNF,1970-04-01,1970-04-30T07:00:00Z,89400,,AF
MRC,M,65,MON FNF,1970-05-01,1970-05-31T07:00:00Z,218400,,AF
MRC,M,65,MON FNF,1970-06-01,1970-06-30T07:00:00Z,127000,,AF
MRC,M,65,MON FNF,1970-07-01,1970-07-31T07:00:00Z,31800,,AF
MRC,M,65,MON FNF,1970-08-01,1970-08-31T07:00:00Z,7500,,AF
MRC,M,65,MON FNF,1970-09-01,1970-09-30T07:00:00Z,4500,,AF
MRC,M,65,MON FNF,1970-10-01,1970-10-31T08:00:00Z,2500,,AF
MRC,M,65,MON FNF,1970-11-01,1970-11-30T08:00:00Z,19300,,AF
MRC,M,65,MON FNF,1970-12-01,1970-12-31T08:00:00Z,54300,,AF
MRC,M,65,MON FNF,1971-01-01,1971-01-31T08:00:00Z,48300,,AF
MRC,M,65,MON FNF,1971-02-01,1971-02-28T08:00:00Z,38600,,AF
MRC,M,65,MON FNF,1971-03-01,1971-03-31T08:00:00Z,59200,,AF
MRC,M,65,MON FNF,1971-04-01,1971-04-30T07:00:00Z,97500,,AF
MRC,M,65,MON FNF,1971-05-01,1971-05-31T07:00:00Z,182400,,AF
MRC,M,65,MON FNF,1971-06-01,1971-06-30T07:00:00Z,180000,,AF
MRC,M,65,MON FNF,1971-07-01,1971-07-31T07:00:00Z,42400,,AF
MRC,M,65,MON FNF,1971-08-01,1971-08-31T07:00:00Z,6900,,AF
MRC,M,65,MON FNF,1971-09-01,1971-09-30T07:00:00Z,1700,,AF
MRC,M,65,MON FNF,1971-10-01,1971-10-31T07:00:00Z,500,,AF
MRC,M,65,MON FNF,1971-11-01,1971-11-30T08:00:00Z,11000,,AF
MRC,M,65,MON FNF,1971-12-01,1971-12-31T08:00:00Z,38700,,AF
MRC,M,65,MON FNF,1972-01-01,1972-01-31T08:00:00Z,23000,,AF
MRC,M,65,MON FNF,1972-02-01,1972-02-29T08:00:00Z,33200,,AF
MRC,M,65,MON FNF,1972-03-01,1972-03-31T08:00:00Z,79800,,AF
MRC,M,65,MON FNF,1972-04-01,1972-04-30T08:00:00Z,79400,,AF
MRC,M,65,MON FNF,1972-05-01,1972-05-31T07:00:00Z,166300,,AF
MRC,M,65,MON FNF,1972-06-01,1972-06-30T07:00:00Z,94700,,AF
MRC,M,65,MON FNF,1972-07-01,1972-07-31T07:00:00Z,10900,,AF
MRC,M,65,MON FNF,1972-08-01,1972-08-31T07:00:00Z,700,,AF
MRC,M,65,MON FNF,1972-09-01,1972-09-30T07:00:00Z,11600,,AF
MRC,M,65,MON FNF,1972-10-01,1972-10-31T08:00:00Z,6000,,AF
MRC,M,65,MON FNF,1972-11-01,1972-11-30T08:00:00Z,13500,,AF
MRC,M,65,MON FNF,1972-12-01,1972-12-31T08:00:00Z,30100,,AF
MRC,M,65,MON FNF,1973-01-01,1973-01-31T08:00:00Z,65500,,AF
MRC,M,65,MON FNF,1973-02-01,1973-02-28T08:00:00Z,124100,,AF
MRC,M,65,MON FNF,1973-03-01,1973-03-31T08:00:00Z,114400,,AF
MRC,M,65,MON FNF,1973-04-01,1973-04-30T07:00:00Z,129300,,AF
MRC,M,65,MON FNF,1973-05-01,1973-05-31T07:00:00Z,377600,,AF
MRC,M,65,MON FNF,1973-06-01,1973-06-30T07:00:00Z,199200,,AF
MRC,M,65,MON FNF,1973-07-01,1973-07-31T07:00:00Z,32000,,AF
MRC,M,65,MON FNF,1973-08-01,1973-08-31T07:00:00Z,13200,,AF
MRC,M,65,MON FNF,1973-09-01,1973-09-30T07:00:00Z,3400,,AF
MRC,M,65,MON FNF,1973-10-01,1973-10-31T08:00:00Z,6300,,AF
MRC,M,65,MON FNF,1973-11-01,1973-11-30T08:00:00Z,56100,,AF
MRC,M,65,MON FNF,1973-12-01,1973-12-31T08:00:00Z,58700,,AF
MRC,M,65,MON FNF,1974-01-01,1974-01-31T07:00:00Z,87800,,AF
MRC,M,65,MON FNF,1974-02-01,1974-02-28T07:00:00Z,37000,,AF
MRC,M,65,MON FNF,1974-03-01,1974-03-31T07:00:00Z,132200,,AF
MRC,M,65,MON FNF,1974-04-01,1974-04-30T07:00:00Z,161300,,AF
MRC,M,65,MON FNF,1974-05-01,1974-05-31T07:00:00Z,326400,,AF
MRC,M,65,MON FNF,1974-06-01,1974-06-30T07:00:00Z,202500,,AF
MRC,M,65,MON FNF,1974-07-01,1974-07-31T07:00:00Z,44700,,AF
MRC,M,65,MON FNF,1974-08-01,1974-08-31T07:00:00Z,15700,,AF
MRC,M,65,MON FNF,1974-09-01,1974-09-30T07:00:00Z,4700,,AF
MRC,M,65,MON FNF,1974-10-01,1974-10-31T08:00:00Z,4100,,AF
MRC,M,65,MON FNF,1974-11-01,1974-11-30T08:00:00Z,5200,,AF
MRC,M,65,MON FNF,1974-12-01,1974-12-31T08:00:00Z,15600,,AF
MRC,M,65,MON FNF,1975-01-01,1975-01-31T08:00:00Z,23500,,AF
MRC,M,65,MON FNF,1975-02-01,1975-02-28T07:00:00Z,107600,,AF
MRC,M,65,MON FNF,1975-03-01,1975-03-31T07:00:00Z,128800,,AF
MRC,M,65,MON FNF,1975-04-01,1975-04-30T07:00:00Z,97500,,AF
MRC,M,65,MON FNF,1975-05-01,1975-05-31T07:00:00Z,311700,,AF
MRC,M,65,MON FNF,1975-06-01,1975-06-30T07:00:00Z,330000,,AF
MRC,M,65,MON FNF,1975-07-01,1975-07-31T07:00:00Z,63600,,AF
MRC,M,65,MON FNF,1975-08-01,1975-08-31T07:00:00Z,12900,,AF
MRC,M,65,MON FNF,1975-09-01,1975-09-30T07:00:00Z,7900,,AF
MRC,M,65,MON FNF,1975-10-01,1975-10-31T08:00:00Z,25290,,AF
MRC,M,65,MON FNF,1975-11-01,1975-11-30T08:00:00Z,21160,,AF
MRC,M,65,MON FNF,1975-12-01,1975-12-31T08:00:00Z,14160,,AF
