Month,Day,Critical,Dry,Below,Above,Wet
5,3,615.1045455,777.6875,923.6842105,939,680.6363636
5,4,652.0454545,675.1875,931.2631579,905.5263158,685.9090909
5,5,629.3181818,601.95,935.1052632,830.9473684,722.1515152
5,6,589.4090909,655.25,927.3684211,787,770.3636364
5,7,553.7272727,681.4375,916.6315789,840.6842105,788.2121212
5,8,604.1363636,667.9375,938.2631579,871.6842105,796.6969697
5,9,536.2136364,762.625,944.1052632,881.3157895,786
5,10,560.5909091,736.5,867.0526316,883.5263158,774.0393939
5,11,580.8318182,683.5625,888.9473684,873.8947368,755.5227273
5,12,559.9727273,652.5,871.8947368,876.6842105,811.1818182
5,13,611.2727273,735.0625,867.6315789,834,834.3636364
5,14,574.9090909,712.5625,873.2105263,947.8421053,837.1818182
5,15,590.5454545,725.8125,894.8947368,957.7368421,840.6666667
5,16,572.9545455,774.4375,918.4210526,975.2631579,838.2424242
5,17,571.1363636,739.3125,909.2631579,1039.842105,855.1818182
5,18,624.5,759.5625,911.8947368,1048.105263,858.1212121
5,19,574.9909091,702.8125,877.6842105,1032.263158,887
5,20,617,705.375,861.5263158,949.7894737,880.2424242
5,21,576,702,857.5789474,993.2105263,884.8787879
5,22,595.1136364,691.3125,919.3684211,983,907
5,23,574.5,628.2625,925.1052632,992.5263158,886.5757576
5,24,592.3181818,666.35,942.3157895,975.8947368,883.6060606
5,25,557.0454545,693.5,914.3684211,958,895.8787879
5,26,552.0454545,716.6875,916.4210526,985.5263158,865.4242424
5,27,565.7727273,671.625,946.5789474,908.4736842,874.9090909
5,28,564.7727273,702.9375,943.2105263,890.7368421,861.3636364
5,29,583.2727273,738.4375,902,932.2105263,882.4545455
5,30,527.4545455,778.125,905.0842105,917.8421053,892.6666667
5,31,603.2272727,719.625,910.5263158,902.1578947,892.8181818
6,1,666.4090909,676.375,911.5263158,926.6315789,882.6060606
6,2,641.5909091,629.9375,915.6315789,943.7368421,875.2424242
6,3,598.0863636,716.3125,906.6842105,887.1052632,903.1818182
6,4,569.6818182,731.25,904.4736842,920.1052632,912.6060606
6,5,621.8636364,694.875,923.8947368,942.7368421,925.5454545
6,6,612.2727273,770.8125,919.1052632,956.5263158,928.3333333
6,7,615.7727273,735.125,956.4210526,971.1578947,898.6363636
6,8,744.0454545,741.5,973.4210526,992,920.3030303
6,9,668.8045455,773.875,960.5789474,1003.105263,898.4545455
6,10,623.5,764.66875,955.2105263,923.5263158,902.7878788
6,11,677.2727273,780.5,964.4210526,991.0526316,879.1818182
6,12,613.5909091,787.25,936.6842105,1020.526316,889.2424242
6,13,649.0909091,750.75,909.8421053,997.7368421,892.3636364
6,14,660.0454545,781.1875,945.4736842,978.7894737,894.3030303
6,15,709.7272727,779.0625,930,969.4210526,913.3030303
6,16,661.3636364,766.625,930.7368421,933.3684211,944.2727273
6,17,727,816.9375,910.6315789,961.4210526,964.969697
6,18,676.8636364,815.5625,914.9473684,978.8947368,957
6,19,679.3181818,793,928.4736842,986.2631579,969.9393939
6,20,639.4545455,805.4375,905.1052632,1061.526316,967.6969697
6,21,654.1363636,746.4375,898.8421053,1095.263158,990.6060606
6,22,669.5909091,750.0625,886.3684211,1064.842105,1004.060606
6,23,690.1818182,645.0625,921.7894737,1069,1034.363636
6,24,705.9545455,765.125,878.2631579,986.4210526,1015.212121
6,25,702.7727273,801.5,854.4210526,1043.947368,1009.636364
6,26,673.4545455,812.6875,824.7894737,1019.052632,989.0606061
6,27,695.1818182,819,824.4736842,990.1578947,996.3939394
6,28,676.1363636,736.375,836.1578947,948.1052632,1008.121212
6,29,673.5909091,784.625,836.1052632,984.5263158,1014.878788
6,30,714.6363636,756.875,796.4210526,991.6842105,1037.121212
7,1,716.6818182,775.3125,816.7894737,933.3157895,975.5151515
7,2,687.0454545,783.5625,856.2631579,858.4210526,926.1515152
7,3,649.4090909,803.0625,852.6842105,852.3684211,876.0606061
7,4,580.1818182,667.125,833.8947368,796.6842105,852.7575758
7,5,593.4545455,764.0625,773.8421053,849.6842105,876.5454545
7,6,651.7727273,808,746.9473684,810.5263158,923.2424242
7,7,633.4545455,709.0625,725.5263158,856.8947368,956.8484848
7,8,681.5,798,726.8947368,814.7894737,938.9393939
7,9,693.9090909,838.125,707.7368421,874.0526316,934.4848485
7,10,699.4545455,794.5625,669.9473684,902.2105263,933.6060606
7,11,666.2272727,847.375,653.5263158,895.7368421,948.8181818
7,12,654.6818182,848.375,683.1052632,927.5263158,983.9090909
7,13,703.9090909,873.125,691.9473684,912.3157895,917.6666667
7,14,672.6818182,807.9375,674.2631579,871.0526316,934.9090909
7,15,675.0909091,872.25,637.6315789,803.2105263,937.1212121
7,16,701.5909091,773.3125,607.7894737,861.4210526,935.4242424
7,17,719.5909091,860.4375,618.4736842,849.4210526,941
7,18,789.2727273,824.375,600.8421053,813.8421053,933.7878788
7,19,745.7272727,820.6875,635.7368421,772.8421053,944.030303
7,20,724.0454545,844.5625,629.3157895,763.7894737,889.6060606
7,21,724.5909091,792.6875,618.1578947,713.4736842,889.7878788
7,22,697.9545455,852.875,637.5263158,647.8421053,939.1515152
7,23,690.7727273,833.9375,660.2631579,735.3157895,901.6666667
7,24,743.8181818,801.6875,657.3157895,759.0526316,875.3333333
7,25,700.5,769.125,654.2105263,772.7368421,859.2424242
7,26,683.0909091,808.125,676.4210526,750.3157895,817.5454545
7,27,706.8181818,815.3125,686.5263158,740.1578947,789.9090909
7,28,677.6818182,787.3125,676.8421053,766.1578947,796.969697
7,29,683.5909091,772.9375,690.1578947,726.9473684,823.7272727
7,30,775.1818182,809.5,673.5263158,801.6315789,843.5454545
7,31,682.6363636,781.5,657.1578947,802.2105263,850.030303
8,1,640.8181818,692.8125,644.5789474,802.8947368,790.1212121
8,2,636.4545455,710.8125,619.8947368,795.7368421,813.7272727
8,3,628.0909091,721.0625,651.4736842,817.0526316,758.3939394
8,4,626,701.375,620.6842105,775.2105263,769.2121212
8,5,624.1818182,773.875,639.2105263,703.5263158,789.1515152
8,6,658.5909091,768.3125,643.6315789,768.6842105,775.8484848
8,7,651.0909091,790.9375,662.6842105,711.8421053,770.4848485
8,8,690.3181818,785.875,654.1578947,709.1052632,761.1818182
8,9,599.8181818,714.4375,677.1578947,744.7368421,746.030303
8,10,662.2272727,784,673.3157895,785.5789474,734.2727273
8,11,614.8636364,721.4375,667.5263158,756.5263158,707.4242424
8,12,620.4090909,679.625,676.8947368,712.9473684,730.6060606
8,13,637.5454545,660.125,675.4210526,770,723.3333333
8,14,641.8636364,652.125,648.9473684,745.2105263,715.2424242
8,15,651.5909091,680.1875,624.7894737,773.9473684,681.7878788
8,16,611.7727273,675.3125,597.8421053,780.0526316,669.6969697
8,17,624.2727273,711.375,602.2631579,774.4736842,670.4848485
8,18,556.5454545,699.75,592.4736842,708.1052632,681.3333333
8,19,538.3409091,688.3125,585.6315789,668.7894737,683.6363636
8,20,575.6818182,685,602.2105263,706.4210526,697.5454545
8,21,544.7727273,663.375,586.2105263,672.7894737,712.7575758
8,22,538.4545455,638.1875,584.4210526,687.2631579,678.8787879
8,23,502,668.875,580.4736842,677.4736842,656.0909091
8,24,515,646.3125,583.7368421,662.7368421,633.1515152
8,25,521.3636364,588.0625,562.3157895,678.1578947,641.030303
8,26,501.8636364,575.1875,563.2631579,602.2631579,623.3333333
8,27,525.5454545,579.75,546.6315789,675.6315789,634.4242424
8,28,551.2727273,623.625,539.1052632,644.8947368,605.6363636
8,29,502.5909091,557.875,531.4736842,655.2631579,599.7272727
8,30,472,561.6875,507.3157895,650.6315789,603.969697
8,31,507.9545455,566.5,498.1052632,651.2105263,584.1818182
9,1,440.7272727,537.0625,505.8421053,592.0526316,657.5757576
9,2,445.5,486.070625,494.4947368,556.4736842,672.6363636
9,3,433,494.125,476.5263158,549.2631579,638.030303
9,4,420.5909091,477.7,462.1052632,610.3684211,621.2121212
9,5,402,458.31875,442.0526316,605.6842105,596.0909091
9,6,395.0454545,488,456.1578947,590.2105263,602.6
9,7,346.7681818,439.3125,463.5789474,603.8947368,575.0545455
9,8,373.1363636,387.09375,472.3157895,526.5789474,575.8030303
9,9,334.4454545,470.875,431.6315789,459.2631579,580.469697
9,10,353.6363636,453.125,457.3684211,542.7894737,591.469697
9,11,331.2727273,457.125,456.3684211,540.6842105,583.2575758
9,12,359.3636364,456.3125,416.4736842,521.6315789,561
9,13,345.6363636,432,459.4736842,491.7368421,519.1848485
9,14,318.9545455,440.5625,425.8947368,495.9473684,489.1666667
9,15,310.9,451.4375,429,516.0263158,499.1666667
9,16,317.3818182,463.5625,433.2105263,443.0526316,463.530303
9,17,267.4509091,453.375,426.5789474,530.2631579,453.1969697
9,18,262.6872727,442.1875,432.5789474,526.1578947,475.9545455
