node,Lake Eleanor,Lake Eleanor,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,
2000-10-10,1404.5,1404.5,231.96895956999572,231.96895956999572,1395.7893251041176,1395.7893251041176
2000-10-11,1404.5,1404.5,231.92279630002312,231.92279630002312,1395.9467408851822,1395.9467408851822
2000-10-12,1404.5,1404.5,231.8749617370835,231.8749617370835,1395.956412960287,1395.956412960287
2000-10-13,1404.5,1404.5,231.82220281787866,231.8222028178787,1395.9088698693417,1395.9088698693417
2000-10-14,1404.5,1404.5,231.77057258243045,231.77057258243045,1395.8481640304935,1395.8481640304935
2000-10-15,1404.5,1404.5,231.71958987315443,231.71958987315443,1395.865323117682,1395.865323117682
2000-10-16,1404.5,1404.5,231.67444063007272,231.67444063007272,1395.882721086787,1395.882721086787
2000-10-17,1404.5,1404.5,231.63515049877898,231.63515049877898,1395.8371570163936,1395.8371570163936
2000-10-18,1404.5,1404.5,231.59616405353336,231.59616405353336,1395.7694632994917,1395.7694632994917
2000-10-19,1404.5,1404.5,231.55423127109927,231.55423127109927,1395.6996240654962,1395.6996240654962
2000-10-20,1404.5,1404.5,231.5124232213929,231.5124232213929,1395.6279372755375,1395.6279372755375
2000-10-21,1404.5,1404.5,231.45705047036134,231.45705047036134,1395.6521452814038,1395.6521452814038
2000-10-22,1404.5,1404.5,231.41600128112893,231.41600128112893,1395.6453459298432,1395.6453459298432
2000-10-23,1404.5,1404.5,231.38004859390412,231.38004859390412,1395.6292243332557,1395.6292243332557
2000-10-24,1404.5,1404.5,231.34607384433198,231.34607384433198,1395.557870299317,1395.557870299317
2000-10-25,1404.5,1404.5,231.3085759898803,231.3085759898803,1395.4955963595826,1395.4955963595826
2000-10-26,1404.5,1404.5,231.2857858524331,231.2857858524331,1395.577642885169,1395.577642885169
2000-10-27,1404.5,1404.5,231.2793210037791,231.2793210037791,1395.6372283745047,1395.6372283745047
2000-10-28,1404.5,1404.5,231.25246034328075,231.25246034328075,1395.6384151692619,1395.6384151692619
2000-10-29,1404.5,1404.5,231.32138610866247,231.32138610866247,1395.9404978821826,1395.9404978821826
2000-10-30,1404.5,1404.5,231.4259519947521,231.4259519947521,1396.1143881074195,1396.1143881074195
2000-10-31,1404.5,1404.5,231.42493487285125,231.42493487285125,1396.0959610069433,1396.0959610069433
2000-11-01,1404.5,1404.5,231.3965383680694,231.3965383680694,1396.0752658044673,1396.0752658044673
2000-11-02,1404.5,1404.5,231.38326748363667,231.38326748363667,1395.9849589613884,1395.9849589613884
2000-11-03,1404.5,1404.5,231.39273013012468,231.39273013012468,1395.7552930856605,1395.7552930856605
2000-11-04,1404.5,1404.5,231.44969418198565,231.44969418198565,1395.2138961201508,1395.2138961201508
2000-11-05,1404.5,1404.5,231.59632379904565,231.59632379904565,1394.0424499184348,1394.0424499184348
2000-11-06,1404.5,1404.5,231.9165189835861,231.9165189835861,1391.5937441077776,1391.5937441077776
2000-11-07,1404.5,1404.5,231.88919596676755,231.88919596676755,1391.69149423551,1391.69149423551
2000-11-08,1404.5,1404.5,231.85341219532185,231.85341219532185,1391.7858305882123,1391.7858305882123
