node,Turlock Irrigation District,Turlock Irrigation District,Modesto Irrigation District,Modesto Irrigation District
IFRs,Baseline,natural_flow,Baseline,natural_flow
Date,,,,
2002-06-15,3.7404314688694327,3.7404314688694327,2.0310505491124466,2.0310505491124466
2002-06-16,3.7779224171374532,3.7779224171374532,1.9986253405830792,1.9986253405830792
2002-06-17,4.182857449574398,4.182857449574398,2.1297925664122643,2.1297925664122643
2002-06-18,4.170982261120999,4.170982261120999,2.126207874046294,2.126207874046294
2002-06-19,4.117036191737839,4.117036191737839,2.067386404479055,2.067386404479055
2002-06-20,4.0646167665752575,4.0646167665752575,2.0998116130084217,2.0998116130084217
2002-06-21,4.163008754578859,4.163008754578859,1.9459957957429697,1.9459957957429697
2002-06-22,4.258517596860919,4.258517596860919,1.9554464583648001,1.9554464583648001
2002-06-23,4.0196619665479565,4.0196619665479565,1.6817068274839768,1.6817068274839768
2002-06-24,4.386427026590402,4.386427026590402,1.994715097154838,1.994715097154838
2002-06-25,4.009483565034756,4.009483565034756,2.0895460642084167,2.0895460642084167
2002-06-26,4.071571736927678,4.071571736927678,2.118712534843084,2.118712534843084
2002-06-27,4.22543721191102,4.22543721191102,2.13516960496122,2.13516960496122
2002-06-28,4.202026347067459,4.202026347067459,1.9197625119407322,1.9197625119407322
2002-06-29,4.29278511396816,4.29278511396816,2.0455522958119627,2.0455522958119627
2002-06-30,4.113303879170198,4.113303879170198,1.9732069429590164,1.9732069429590164
2002-07-01,4.132982431446119,4.132982431446119,2.0212743354283456,2.0212743354283456
2002-07-02,3.9875993444117768,3.9875993444117768,2.0427824896241673,2.0427824896241673
2002-07-03,4.272767049629001,4.272767049629001,2.0936196882812923,2.0936196882812923
2002-07-04,3.8408589825004755,3.8408589825004755,1.7392244791661373,1.7392244791661373
2002-07-05,3.993367182606857,3.993367182606857,1.9919448875580437,1.9919448875580437
2002-07-06,4.049518920337077,4.049518920337077,2.106492066033458,2.106492066033458
2002-07-07,3.795564670409934,3.795564670409934,1.848557596328231,1.848557596328231
2002-07-08,4.115170035454018,4.115170035454018,2.080421356057857,2.080421356057857
2002-07-09,4.053929483655198,4.053929483655198,2.1850293436135346,2.1850293436135346
2002-07-10,4.3180613617195425,4.3180613617195425,2.0714600285519293,2.0714600285519293
2002-07-11,4.086330844478619,4.086330844478619,2.2091443267615167,2.2091443267615167
2002-07-12,4.374721980856623,4.374721980856623,2.2117515591226766,2.2117515591226766
2002-07-13,4.25817808479768,4.25817808479768,2.276275618301143,2.276275618301143
2002-07-14,4.29125846974758,4.29125846974758,2.106329088797823,2.106329088797823
2002-07-15,4.118562835958419,4.118562835958419,2.2739947438202526,2.2739947438202526
2002-07-16,3.702431639194552,3.702431639194552,2.0160602741150253,2.0160602741150253
2002-07-17,3.8501897639195746,3.8501897639195746,2.2431989042382345,2.2431989042382345
2002-07-18,4.037474362540057,4.037474362540057,2.149182419953832,2.149182419953832
2002-07-19,3.9587601534363768,3.9587601534363768,2.1395687800963654,2.1395687800963654
2002-07-20,4.050706052494418,4.050706052494418,2.2018119647939414,2.2018119647939414
2002-07-21,4.0069383846244575,4.0069383846244575,2.0665715183008797,2.0665715183008797
2002-07-22,4.257160321983959,4.257160321983959,2.223483096225398,2.223483096225398
2002-07-23,4.2054191475718605,4.2054191475718605,2.1741122892799885,2.1741122892799885
2002-07-24,4.4378286889392635,4.4378286889392635,2.090034995915322,2.090034995915322
2002-07-25,4.26140151595846,4.26140151595846,2.005143219781479,2.005143219781479
2002-07-26,4.139598663111299,4.139598663111299,2.1068180205047273,2.1068180205047273
2002-07-27,4.340454463749381,4.340454463749381,2.1255559651037546,2.1255559651037546
2002-07-28,4.022206373582257,4.022206373582257,2.052558703308269,2.052558703308269
2002-07-29,4.163008754578859,4.163008754578859,2.015082410701216,2.015082410701216
2002-07-30,3.968260304199096,3.968260304199096,2.110402712870698,2.110402712870698
2002-07-31,4.122804029932918,4.122804029932918,2.037405451075212,2.037405451075212
2002-08-01,3.953331827304536,3.953331827304536,1.8061931968791274,1.8061931968791274
2002-08-02,3.7763957729168727,3.7763957729168727,1.853119748699012,1.853119748699012
2002-08-03,4.22543721191102,4.22543721191102,1.8798419642081543,1.8798419642081543
2002-08-04,3.9256805418624743,3.9256805418624743,1.8285158338441245,1.8285158338441245
2002-08-05,4.237142257644801,4.237142257644801,2.0175266658267406,2.0175266658267406
2002-08-06,4.076321812309039,4.076321812309039,2.0030249191272245,2.0030249191272245
2002-08-07,3.9728402368608373,3.9728402368608373,2.062009365930099,2.062009365930099
2002-08-08,4.210848247079698,4.210848247079698,2.0488110337066634,2.0488110337066634
2002-08-09,3.8717344724793135,3.8717344724793135,1.8625704113208423,1.8625704113208423
2002-08-10,4.049518920337077,4.049518920337077,2.043922926864613,2.043922926864613
2002-08-11,3.7205835472498916,3.7205835472498916,1.8808198276219639,1.8808198276219639
