node,Lake Eleanor,Lake Eleanor,Hetch Hetchy Reservoir,Hetch Hetchy Reservoir,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,,,
2004-12-11,0.0,0.0,346.16851000468324,346.16851000468324,1551.6146978340373,1551.6146978340373,68.46009165612173,68.46009165612173
2004-12-12,0.0,0.0,346.38253714565394,346.38253714565394,1551.5999448249427,1551.5999448249427,69.62330416212173,69.62330416212173
2004-12-13,0.0,0.0,346.37927465452765,346.37927465452765,1551.4642571405518,1551.4642571405518,70.58480835212173,70.58480835212173
2004-12-14,0.0,0.0,346.4249660030803,346.4249660030803,1551.162255760469,1551.162255760469,71.60258378012172,71.60258378012172
2004-12-15,0.0,0.0,346.6426897705214,346.6426897705214,1551.1596427450618,1551.1596427450618,72.70927249812172,72.70927249812172
2004-12-16,0.0,0.0,346.83520845912165,346.83520845912165,1550.6949717805815,1550.6949717805815,73.69768901912173,73.69768901912173
2004-12-17,0.0,0.0,346.7524546919934,346.7524546919934,1550.128245578503,1550.128245578503,74.61270827412173,74.61270827412173
2004-12-18,0.0,0.0,346.6122510650848,346.6122510650848,1549.6073519904626,1549.6073519904626,75.57910561512173,75.57910561512173
2004-12-19,0.0,0.0,346.4987349167503,346.4987349167503,1549.133080514559,1549.133080514559,76.54060980512173,76.54060980512173
2004-12-20,0.0,0.0,346.25738392152783,346.25738392152783,1548.5104756495189,1548.5104756495189,77.47100302512173,77.47100302512173
2004-12-21,0.0,0.0,345.9964675130986,345.9964675130986,1547.9427109574501,1547.9427109574501,78.37101135512174,78.37101135512174
2004-12-22,0.0,0.0,345.81344798110246,345.81344798110246,1547.3699238295003,1547.3699238295003,79.32486013112174,79.32486013112174
2004-12-23,0.0,0.0,345.47669639993774,345.47669639993774,1546.832938088372,1546.832938088372,80.23807996912174,80.23807996912174
2004-12-24,0.0,0.0,345.18398511236944,345.18398511236944,1546.4166308685847,1546.4166308685847,81.17022525212174,81.17022525212174
2004-12-25,0.0,0.0,344.92552775492453,344.92552775492453,1546.0605969925493,1546.0605969925493,82.09992396012174,82.09992396012174
2004-12-26,0.0,0.0,344.61323709425415,344.61323709425415,1545.8260502137057,1545.8260502137057,83.01630066912175,83.01630066912175
2004-12-27,0.0,0.0,344.92761269531997,344.92761269531997,1548.0046903105388,1548.0046903105388,84.25079533712174,84.25079533712174
2004-12-28,0.0,0.0,345.4583785122025,345.4583785122025,1551.5702724950627,1551.5702724950627,85.54997430612174,85.54997430612174
2004-12-29,0.0,0.0,346.12755745478984,346.12755745478984,1557.7087307933832,1557.7087307933832,86.93228949012175,86.93228949012175
2004-12-30,0.0,0.0,347.3049856094015,347.3049856094015,1571.3417098029183,1571.3417098029183,89.27408846612175,89.27408846612175
2004-12-31,0.0,0.0,348.0167712881426,348.0167712881426,1580.1406464204902,1580.1406464204902,91.13793707112175,91.13793707112175
