node,MID Northside,MID Northside,MID Main,MID Main,Merced River Outflow,Merced River Outflow
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,
2010-02-16,0.007781138470250793,0.007781138470250793,1.6719653703217046,1.6719653703217046,0.0,0.0
2010-02-17,0.0,0.0,1.9181650571347,1.9181650571347,0.0,0.0
2010-02-18,0.0,0.0,2.0873347077192004,2.0873347077192004,0.0,0.0
2010-02-19,0.0,0.0,1.642567216581353,1.642567216581353,0.0,0.0
2010-02-20,0.0,0.0,1.7332989824280085,1.7332989824280085,0.0,0.0
2010-02-21,0.0,0.0,2.989132876003881,2.989132876003881,0.0,0.0
2010-02-22,0.0,0.0,2.098029109102847,2.098029109102847,0.0,0.0
2010-02-23,0.0,0.0,4.273840398443574,4.273840398443574,0.0,0.0
2010-02-24,0.0,0.0,4.886992995302095,4.886992995302095,0.0,0.0
2010-02-25,0.0,0.0,2.7010231532312843,2.7010231532312843,0.0,0.0
2010-02-26,0.0,0.0,7.572598919632308,7.572598919632308,0.0,0.0
2010-02-27,0.0,0.0,7.143307694681287,7.143307694681287,0.0,0.0
2010-02-28,0.0,0.0,4.70918013002572,4.70918013002572,0.0,0.0
2010-03-01,0.0,0.0,4.624248530388703,4.624248530388703,0.0,0.0
2010-03-02,0.0,0.0,5.124174420281834,5.124174420281834,0.0,0.0
2010-03-03,0.0,0.0,6.674722913439563,6.674722913439563,0.0,0.0
2010-03-04,0.0,0.0,5.525403317140047,5.525403317140047,0.0,0.0
2010-03-05,0.0,0.0,4.845526129908466,4.845526129908466,0.0,0.0
2010-03-06,0.0,0.0,4.828241176906771,4.828241176906771,0.0,0.0
2010-03-07,0.0,0.0,4.616703163126077,4.616703163126077,0.0,0.0
2010-03-08,0.0,0.0,4.646216471275428,4.646216471275428,0.0,0.0
2010-03-09,0.0,0.0,4.377303665773113,4.377303665773113,0.0,0.0
2010-03-10,0.0,0.0,3.997430373482488,3.997430373482488,0.0,0.0
2010-03-11,0.0,0.0,3.752027952521432,3.752027952521432,0.0,0.0
2010-03-12,0.0,0.0,5.650497706830706,5.650497706830706,0.0,0.0
2010-03-13,0.0,0.0,4.800508018461839,4.800508018461839,0.0,0.0
2010-03-14,0.0,0.0,3.871163341629665,3.871163341629665,0.0,0.0
2010-03-15,0.0,0.0,3.947026730463485,3.947026730463485,0.0,0.0
2010-03-16,0.0,0.0,3.962358781208191,3.962358781208191,0.0,0.0
2010-03-17,0.0,0.0,4.083627171320788,4.083627171320788,0.0,0.0
2010-03-18,0.0,0.0,4.132704220056822,4.132704220056822,0.0,0.0
2010-03-19,0.0,0.0,3.849947873353953,3.849947873353953,0.0,0.0
2010-03-20,0.0,0.0,4.152605545707427,4.152605545707427,0.0,0.0
2010-03-21,0.0,0.0,3.9601140603769744,3.9601140603769744,0.0,0.0
2010-03-22,0.0,0.0,3.7205803654004734,3.7205803654004734,0.0,0.0
2010-03-23,0.0,0.0,3.636703588079906,3.636703588079906,0.0,0.0
2010-03-24,0.0,0.0,2.744047059576787,2.744047059576787,0.0,0.0
2010-03-25,0.0,0.0,2.6638667765850648,2.6638667765850648,0.0,0.0
2010-03-26,0.0,0.0,2.113767943758404,2.113767943758404,0.0,0.0
2010-03-27,0.0,0.0,2.0004779533818957,2.0004779533818957,0.0,0.0
2010-03-28,0.0,0.0,2.3272469905817283,2.3272469905817283,0.0,0.0
2010-03-29,0.0,0.0,2.509129530044252,2.509129530044252,0.0,0.0
2010-03-30,0.0,0.0,2.9351043011712767,2.9351043011712767,0.0,0.0
2010-03-31,0.0,0.0,2.031962306148372,2.031962306148372,0.0,0.0
2010-04-01,0.0,0.0,2.178839092203114,2.178839092203114,0.0,0.0
2010-04-02,0.0,0.0,2.7481765610764906,2.7481765610764906,0.0,0.0
2010-04-03,0.0,0.0,2.162635995344089,2.162635995344089,0.0,0.0
2010-04-04,0.0,0.0,5.090377749581538,5.090377749581538,0.0,0.0
2010-04-05,0.0,0.0,4.163207797448281,4.163207797448281,0.0,0.0
2010-04-06,0.0,0.0,2.745526416978276,2.745526416978276,0.0,0.0
2010-04-07,0.0,0.0,3.041896627137977,3.041896627137977,0.0,0.0
2010-04-08,0.0,0.0,3.064181470699109,3.064181470699109,0.0,0.0
2010-04-09,0.0,0.0,3.3302192249424705,3.3302192249424705,0.0,0.0
2010-04-10,0.0,0.0,3.1544380713193627,3.1544380713193627,0.0,0.0
2010-04-11,0.0,0.0,4.879286791714055,4.879286791714055,0.0,0.0
2010-04-12,0.0,0.0,5.117536626991071,5.117536626991071,0.0,0.0
2010-04-13,0.0,0.0,3.436170056686392,3.436170056686392,0.0,0.0
2010-04-14,0.0,0.0,3.425713689367475,3.425713689367475,0.0,0.0
2010-04-15,0.0,0.0,3.453563568634572,3.453563568634572,0.0,0.0
2010-04-16,0.0,0.0,3.906845557011113,3.906845557011113,0.0,0.0
2010-04-17,0.0,0.0,4.145686069024072,4.145686069024072,0.0,0.0
2010-04-18,0.0,0.0,4.7048652592348335,4.7048652592348335,0.0,0.0
2010-04-19,0.0,0.0,4.587146908956807,4.587146908956807,0.0,0.0
2010-04-20,0.0,0.0,6.780788531342883,6.780788531342883,0.0,0.0
2010-04-21,0.0,0.0,4.64597846278569,4.64597846278569,0.0,0.0
2010-04-22,0.0,0.0,3.446102282618856,3.446102282618856,0.0,0.0
2010-04-23,0.0,0.0,3.586618535687243,3.586618535687243,0.0,0.0
2010-04-24,0.0,0.0,3.918609903981436,3.918609903981436,0.0,0.0
2010-04-25,0.0,0.0,4.825934195517531,4.825934195517531,0.0,0.0
2010-04-26,0.0,0.0,5.6866561943533736,5.6866561943533736,0.0,0.0
2010-04-27,0.0,0.0,6.822986243508035,6.822986243508035,0.0,0.0
2010-04-28,0.0,0.0,4.636130930131701,4.636130930131701,0.0,0.0
2010-04-29,0.0,0.0,3.724919432543908,3.724919432543908,0.0,0.0
2010-04-30,0.0,0.0,3.462450700931786,3.462450700931786,0.0,0.0
2010-05-01,0.0,0.0,3.447485709593643,3.447485709593643,0.0,0.0
2010-05-02,0.0,0.0,3.6781734807033217,3.6781734807033217,0.0,0.0
2010-05-03,0.0,0.0,4.328738254638511,4.328738254638511,0.0,0.0
2010-05-04,0.0,0.0,5.136996174533388,5.136996174533388,0.0,0.0
2010-05-05,0.0,0.0,5.671118820942937,5.671118820942937,0.0,0.0
2010-05-06,0.0,0.0,4.678580376590702,4.678580376590702,0.0,0.0
2010-05-07,0.0,0.0,4.540451937171025,4.540451937171025,0.0,0.0
2010-05-08,0.0,0.0,4.668838101079441,4.668838101079441,0.0,0.0
2010-05-09,0.0,0.0,3.6147604186202384,3.6147604186202384,0.0,0.0
2010-05-10,0.0,0.0,3.344569635050692,3.344569635050692,0.0,0.0
2010-05-11,0.0,0.0,2.9327407391091382,2.9327407391091382,0.0,0.0
2010-05-12,0.0,0.0,2.684779733810134,2.684779733810134,0.0,0.0
2010-05-13,0.0,0.0,2.7920530958835914,2.7920530958835914,0.0,0.0
2010-05-14,0.0,0.0,3.398889144878658,3.398889144878658,0.0,0.0
2010-05-15,0.0,0.0,4.636301237287857,4.636301237287857,0.0,0.0
2010-05-16,0.0,0.0,6.138531499287941,6.138531499287941,0.0,0.0
2010-05-17,0.0,0.0,6.786087431420594,6.786087431420594,0.0,0.0
2010-05-18,0.0,0.0,3.933821942309245,3.933821942309245,0.0,0.0
2010-05-19,0.0,0.0,4.200369185260974,4.200369185260974,0.0,0.0
2010-05-20,0.0,0.0,5.171642375509417,5.171642375509417,0.0,0.0
2010-05-21,0.0,0.0,5.123706789328383,5.123706789328383,0.0,0.0
2010-05-22,0.0,0.0,3.846501692478474,3.846501692478474,0.0,0.0
2010-05-23,0.0,0.0,3.7550438550990983,3.7550438550990983,0.0,0.0
2010-05-24,0.0,0.0,3.681430538317608,3.681430538317608,0.0,0.0
2010-05-25,0.0,0.0,3.583439160969573,3.583439160969573,0.0,0.0
2010-05-26,0.0,0.0,3.809685901050104,3.809685901050104,0.0,0.0
2010-05-27,0.0,0.0,3.712024824930758,3.712024824930758,0.0,0.0
2010-05-28,0.0,0.0,3.083420411721088,3.083420411721088,0.0,0.0
2010-05-29,0.0,0.0,3.0829997210882665,3.0829997210882665,0.0,0.0
2010-05-30,0.0,0.0,4.195327894019429,4.195327894019429,0.0,0.0
2010-05-31,0.0,0.0,5.389719300147758,5.389719300147758,0.0,0.0
2010-06-01,0.0,0.0,5.454313877726568,5.454313877726568,0.0,0.0
2010-06-02,0.0,0.0,6.038808196060415,6.038808196060415,0.0,0.0
2010-06-03,0.0,0.0,8.568841623645225,8.568841623645225,0.0,0.0
2010-06-04,0.14524791811134816,0.14524791811134816,10.0,10.0,0.0,0.0
2010-06-05,0.14524791811134816,0.14524791811134816,10.0,10.0,0.0,0.0
2010-06-06,0.1582164822284328,0.1582164822284328,10.0,10.0,0.0,0.0
2010-06-07,0.15173220016989047,0.15173220016989047,10.0,10.0,0.0,0.0
2010-06-08,0.15173220016989047,0.15173220016989047,10.0,10.0,0.0,0.0
2010-06-09,0.15173220016989047,0.15173220016989047,10.0,10.0,0.0,0.0
2010-06-10,0.15173220016989047,0.15173220016989047,10.0,10.0,0.0,0.0
2010-06-11,0.15173220016989047,0.15173220016989047,10.0,10.0,0.0,0.0
2010-06-12,0.14913848734647353,0.14913848734647353,10.0,10.0,0.0,0.0
2010-06-13,0.1659976206986836,0.1659976206986836,10.0,10.0,0.0,0.0
2010-06-14,0.1647007642869751,0.1647007642869751,10.0,10.0,0.0,0.0
2010-06-15,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-06-16,0.15562276940501585,0.15562276940501585,10.0,10.0,0.0,0.0
2010-06-17,0.15562276940501585,0.15562276940501585,10.0,10.0,0.0,0.0
2010-06-18,0.15691962581672436,0.15691962581672436,10.0,10.0,0.0,0.0
2010-06-19,0.15562276940501585,0.15562276940501585,10.0,10.0,0.0,0.0
2010-06-20,0.15562276940501585,0.15562276940501585,10.0,10.0,0.0,0.0
2010-06-21,0.1543259129933074,0.1543259129933074,10.0,10.0,0.0,0.0
2010-06-22,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-06-23,0.1647007642869751,0.1647007642869751,10.0,10.0,0.0,0.0
2010-06-24,0.16210705146355817,0.16210705146355817,10.0,10.0,0.0,0.0
2010-06-25,0.16210705146355817,0.16210705146355817,10.0,10.0,0.0,0.0
2010-06-26,0.17118504634551746,0.17118504634551746,10.0,10.0,0.0,0.0
2010-06-27,0.17118504634551746,0.17118504634551746,10.0,10.0,0.0,0.0
2010-06-28,0.15951333864014125,0.15951333864014125,10.0,10.0,0.0,0.0
2010-06-29,0.15302905658159893,0.15302905658159893,10.0,10.0,0.0,0.0
2010-06-30,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-07-01,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-07-02,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-07-03,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-07-04,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-07-05,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-07-06,0.16340390787526665,0.16340390787526665,10.0,10.0,0.0,0.0
2010-07-07,0.15951333864014125,0.15951333864014125,6.6159837354497775,6.615983735449777,0.0,0.0
2010-07-08,0.15691962581672436,0.15691962581672436,2.3737883050863706,2.3737883050863706,0.0,0.0
2010-07-09,0.16729447711039205,0.16729447711039205,2.3481670278418223,2.3481670278418223,0.0,0.0
2010-07-10,0.17248190275722594,0.17248190275722594,2.1558714808110704,2.1558714808110704,0.0,0.0
2010-07-11,0.1685913335221005,0.1685913335221005,2.12229711441821,2.12229711441821,0.0,0.0
2010-07-12,0.16340390787526665,0.16340390787526665,1.9393393899174671,1.9393393899174671,0.0,0.0
2010-07-13,0.16340390787526665,0.16340390787526665,1.7470127011844305,1.7470127011844305,0.0,0.0
2010-07-14,0.1543259129933074,0.1543259129933074,1.4425549454631554,1.4425549454631554,0.0,0.0
