Day of year,Hetch Hetchy Reservoir,Cherry Lake,Lake Eleanor,Don Pedro Reservoir
309,330000,248000,14999.33333,2030000
310,330000,248000,15249.16667,2030000
311,330000,248000,15499,2030000
312,330000,248000,15748.83333,2030000
313,330000,248000,15998.66667,2030000
314,330000,248000,16248.5,2030000
315,330000,248000,16498.33333,2030000
316,330000,248000,16748.16667,2030000
317,330000,248000,16998,2030000
318,330000,248000,17247.83333,2030000
319,330000,248000,17497.66667,2030000
320,330000,248000,17747.5,2030000
321,330000,248000,17997.33333,2030000
322,330000,248000,18247.16667,2030000
323,330000,248000,18497,2030000
324,330000,248000,18746.83333,2030000
325,330000,248000,18996.66667,2030000
326,330000,248000,19246.5,2030000
327,330000,248000,19496.33333,2030000
328,330000,248000,19746.16667,2030000
329,330000,248000,19996,2030000
330,330000,248000,20245.83333,2030000
331,330000,248000,20495.66667,2030000
332,330000,248000,20745.5,2030000
333,330000,248000,20995.33333,2030000
334,330000,248000,21245.16667,2030000
335,330000,248000,21495,2030000
336,330000,248000,21495,2030000
337,330000,248000,21495,2030000
338,330000,248000,21495,2030000
339,330000,248000,21495,2030000
340,330000,248000,21495,2030000
341,330000,248000,21495,2030000
342,330000,248000,21495,2030000
343,330000,248000,21495,2030000
344,330000,248000,21495,2030000
345,330000,248000,21495,2030000
346,330000,248000,21495,2030000
347,330000,248000,21495,2030000
348,330000,248000,21495,2030000
349,330000,248000,21495,2030000
350,330000,248000,21495,2030000
351,330000,248000,21495,2030000
352,330000,248000,21495,2030000
353,330000,248000,21495,2030000
354,330000,248000,21495,2030000
355,330000,248000,21495,2030000
356,330000,248000,21495,2030000
357,330000,248000,21495,2030000
358,330000,248000,21495,2030000
359,330000,248000,21495,2030000
360,330000,248000,21495,2030000
361,330000,248000,21495,2030000
362,330000,248000,21495,2030000
363,330000,248000,21495,2030000
364,330000,248000,21495,2030000
365,330000,248000,21495,2030000
366,330000,248000,21495,2030000
