Day of year,Hetch Hetchy Reservoir,Cherry Lake,Lake Eleanor,Don Pedro Reservoir
77,330000,248000,21495,1690000
78,330000,248000,21495,1690000
79,330000,248000,21495,1690000
80,330000,248000,21495,1690000
81,330000,248000,21495,1690000
82,330000,248000,21495,1690000
83,330000,248000,21495,1690000
84,330000,248000,21495,1690000
85,330000,248000,21495,1690000
86,330000,248000,21495,1690000
87,330000,248000,21495,1690000
88,330000,248000,21495,1690000
89,330000,248000,21495,1690000
90,330000,248000,21495,1690000
91,330000,248000,21495,1690000
92,331013.3333,248843.3333,21681.83333,1690000
93,332026.6667,249686.6667,21868.66667,1690000
94,333040,250530,22055.5,1690000
95,334053.3333,251373.3333,22242.33333,1690000
96,335066.6667,252216.6667,22429.16667,1690000
97,336080,253060,22616,1690000
98,337093.3333,253903.3333,22802.83333,1690000
99,338106.6667,254746.6667,22989.66667,1690000
100,339120,255590,23176.5,1690000
101,340133.3333,256433.3333,23363.33333,1690000
102,341146.6667,257276.6667,23550.16667,1690000
103,342160,258120,23737,1690000
104,343173.3333,258963.3333,23923.83333,1690000
105,344186.6667,259806.6667,24110.66667,1690000
106,345200,260650,24297.5,1690000
107,346213.3333,261493.3333,24484.33333,1690000
108,347226.6667,262336.6667,24671.16667,1690000
109,348240,263180,24858,1690000
110,349253.3333,264023.3333,25044.83333,1690000
111,350266.6667,264866.6667,25231.66667,1690000
112,351280,265710,25418.5,1690000
113,352293.3333,266553.3333,25605.33333,1690000
114,353306.6667,267396.6667,25792.16667,1690000
115,354320,268240,25979,1690000
116,355333.3333,269083.3333,26165.83333,1690000
117,356346.6667,269926.6667,26352.66667,1690000
118,357360,270770,26539.5,1690000
119,358373.3333,271613.3333,26726.33333,1699200
120,359386.6667,272456.6667,26913.16667,1708400
121,360400,273300,27100,1717600
122,360400,273300,27100,1726800
123,360400,273300,27100,1736000
124,360400,273300,27100,1745200
125,360400,273300,27100,1754400
126,360400,273300,27100,1763600
127,360400,273300,27100,1772800
128,360400,273300,27100,1782000
129,360400,273300,27100,1791200
130,360400,273300,27100,1800400
131,360400,273300,27100,1809600
132,360400,273300,27100,1818800
133,360400,273300,27100,1828000
134,360400,273300,27100,1837200
135,360400,273300,27100,1846400
136,360400,273300,27100,1855600
137,360400,273300,27100,1864800
138,360400,273300,27100,1874000
139,360400,273300,27100,1883200
140,360400,273300,27100,1892400
141,360400,273300,27100,1901600
142,360400,273300,27100,1910800
143,360400,273300,27100,1920000
144,360400,273300,27100,1929200
145,360400,273300,27100,1938400
146,360400,273300,27100,1947600
147,360400,273300,27100,1956800
148,360400,273300,27100,1966000
149,360400,273300,27100,1975200
150,360400,273300,27100,1984400
151,360400,273300,27100,1993600
152,360400,273300,27100,2002800
153,360400,273300,27100,2012000
154,360400,273300,27100,2021200
155,360400,273300,27100,2030000
156,360400,273300,27100,2030000
157,360400,273300,27100,2030000
158,360400,273300,27100,2030000
159,360400,273300,27100,2030000
160,360400,273300,27100,2030000
161,360400,273300,27100,2030000
162,360400,273300,27100,2030000
163,360400,273300,27100,2030000
164,360400,273300,27100,2030000
165,360400,273300,27100,2030000
166,360400,273300,27100,2030000
167,360400,273300,27100,2030000
168,360400,273300,27100,2030000
169,360400,273300,27100,2030000
170,360400,273300,27100,2030000
171,360400,273300,27100,2030000
172,360400,273300,27100,2030000
173,360400,273300,27100,2030000
174,360400,273300,27100,2030000
175,360400,273300,27100,2030000
176,360400,273300,27100,2030000
177,360400,273300,27100,2030000
178,360400,273300,27100,2030000
179,360400,273300,27100,2030000
180,360400,273300,27100,2030000
181,360400,273300,27100,2030000
182,360400,273300,27100,2030000
183,360400,273129.0323,27100,2026000
184,360400,272958.0645,27100,2022000
185,360400,272787.0968,27100,2018000
186,360400,272616.129,27100,2014000
187,360400,272445.1613,27100,2010000
188,360400,272274.1935,27100,2006000
189,360400,272103.2258,27100,2002000
190,360400,271932.2581,27100,1998000
191,360400,271761.2903,27100,1994000
192,360400,271590.3226,27100,1990000
193,360400,271419.3548,27100,1986000
194,360400,271248.3871,27100,1982000
195,360400,271077.4194,27100,1978000
196,360400,270906.4516,27100,1974000
197,360400,270735.4839,27100,1970000
198,360400,270564.5161,27100,1966000
199,360400,270393.5484,27100,1962000
200,360400,270222.5806,27100,1958000
201,360400,270051.6129,27100,1954000
202,360400,269880.6452,27100,1950000
203,360400,269709.6774,27100,1946000
204,360400,269538.7097,27100,1942000
205,360400,269367.7419,27100,1938000
206,360400,269196.7742,27100,1934000
207,360400,269025.8065,27100,1930000
208,360400,268854.8387,27100,1926000
209,360400,268683.871,27100,1922000
210,360400,268512.9032,27100,1918000
211,360400,268341.9355,27100,1914000
212,360400,268170.9677,27100,1910000
213,360400,268000,27100,1906000
214,360400,267677.4194,27100,1902000
215,360400,267354.8387,27100,1898000
216,360400,267032.2581,27100,1894000
217,360400,266709.6774,27100,1890000
218,360400,266387.0968,27100,1886000
219,360400,266064.5161,27100,1882000
220,360400,265741.9355,27100,1878000
221,360400,265419.3548,27100,1874000
222,360400,265096.7742,27100,1870000
223,360400,264774.1935,27100,1866000
224,360400,264451.6129,27100,1862000
225,360400,264129.0323,27100,1858000
226,360400,263806.4516,27100,1854000
227,360400,263483.871,27100,1850000
228,360400,263161.2903,27100,1846000
229,360400,262838.7097,27100,1842000
230,360400,262516.129,27100,1838000
231,360400,262193.5484,27100,1834000
232,360400,261870.9677,27100,1830000
233,360400,261548.3871,27100,1826000
234,360400,261225.8065,27100,1822000
235,360400,260903.2258,27100,1818000
236,360400,260580.6452,27100,1814000
237,360400,260258.0645,27100,1810000
238,360400,259935.4839,27100,1806000
239,360400,259612.9032,27100,1802000
240,360400,259290.3226,27100,1798000
241,360400,258967.7419,27100,1794000
242,360400,258645.1613,27100,1790000
243,360400,258322.5806,27100,1786000
244,360400,258000,27100,1782000
245,360400,257666.6667,26796.66667,1779000
246,360400,257333.3333,26493.33333,1776000
247,360400,257000,26190,1773000
248,360400,256666.6667,25886.66667,1770000
249,360400,256333.3333,25583.33333,1767000
250,360400,256000,25280,1764000
251,360400,255666.6667,24976.66667,1761000
252,360400,255333.3333,24673.33333,1758000
253,360400,255000,24370,1755000
254,360400,254666.6667,24066.66667,1752000
255,360400,254333.3333,23763.33333,1749000
256,360400,254000,23460,1746000
257,360400,253666.6667,23156.66667,1743000
258,360400,253333.3333,22853.33333,1740000
259,360400,253000,22550,1737000
260,360400,252666.6667,22246.66667,1734000
261,360400,252333.3333,21943.33333,1731000
262,360400,252000,21640,1728000
263,360400,251666.6667,21336.66667,1725000
264,360400,251333.3333,21033.33333,1722000
265,360400,251000,20730,1719000
266,360400,250666.6667,20426.66667,1716000
267,360400,250333.3333,20123.33333,1713000
268,360400,250000,19820,1710000
269,360400,249666.6667,19516.66667,1707000
270,360400,249333.3333,19213.33333,1704000
271,360400,249000,18910,1701000
272,360400,248666.6667,18606.66667,1698000
273,360400,248333.3333,18303.33333,1695000
274,360400,248000,18000,1692000
275,359419.3548,248000,17870.96774,1690000
276,358438.7097,248000,17741.93548,1690000
277,357458.0645,248000,17612.90323,1690000
278,356477.4194,248000,17483.87097,1690000
279,355496.7742,248000,17354.83871,1690000
280,354516.129,248000,17225.80645,1690000
281,353535.4839,248000,17096.77419,1690000
282,352554.8387,248000,16967.74194,1690000
283,351574.1935,248000,16838.70968,1690000
284,350593.5484,248000,16709.67742,1690000
285,349612.9032,248000,16580.64516,1690000
286,348632.2581,248000,16451.6129,1690000
287,347651.6129,248000,16322.58065,1690000
288,346670.9677,248000,16193.54839,1690000
289,345690.3226,248000,16064.51613,1690000
290,344709.6774,248000,15935.48387,1690000
291,343729.0323,248000,15806.45161,1690000
292,342748.3871,248000,15677.41935,1690000
293,341767.7419,248000,15548.3871,1690000
294,340787.0968,248000,15419.35484,1690000
295,339806.4516,248000,15290.32258,1690000
296,338825.8065,248000,15161.29032,1690000
297,337845.1613,248000,15032.25806,1690000
298,336864.5161,248000,14903.22581,1690000
299,335883.871,248000,14774.19355,1690000
300,334903.2258,248000,14645.16129,1690000
301,333922.5806,248000,14516.12903,1690000
302,332941.9355,248000,14387.09677,1690000
303,331961.2903,248000,14258.06452,1690000
304,330980.6452,248000,14129.03226,1690000
305,330000,248000,14000,1690000
306,330000,248000,14249.83333,1690000
307,330000,248000,14499.66667,1690000
308,330000,248000,14749.5,1690000
309,330000,248000,14999.33333,1690000
310,330000,248000,15249.16667,1690000
311,330000,248000,15499,1690000
312,330000,248000,15748.83333,1690000
313,330000,248000,15998.66667,1690000
314,330000,248000,16248.5,1690000
315,330000,248000,16498.33333,1690000
316,330000,248000,16748.16667,1690000
317,330000,248000,16998,1690000
318,330000,248000,17247.83333,1690000
319,330000,248000,17497.66667,1690000
320,330000,248000,17747.5,1690000
321,330000,248000,17997.33333,1690000
322,330000,248000,18247.16667,1690000
323,330000,248000,18497,1690000
324,330000,248000,18746.83333,1690000
325,330000,248000,18996.66667,1690000
326,330000,248000,19246.5,1690000
327,330000,248000,19496.33333,1690000
328,330000,248000,19746.16667,1690000
329,330000,248000,19996,1690000
330,330000,248000,20245.83333,1690000
331,330000,248000,20495.66667,1690000
332,330000,248000,20745.5,1690000
333,330000,248000,20995.33333,1690000
334,330000,248000,21245.16667,1690000
335,330000,248000,21495,1690000
336,330000,248000,21495,1690000
337,330000,248000,21495,1690000
338,330000,248000,21495,1690000
339,330000,248000,21495,1690000
340,330000,248000,21495,1690000
341,330000,248000,21495,1690000
342,330000,248000,21495,1690000
343,330000,248000,21495,1690000
344,330000,248000,21495,1690000
345,330000,248000,21495,1690000
346,330000,248000,21495,1690000
347,330000,248000,21495,1690000
348,330000,248000,21495,1690000
349,330000,248000,21495,1690000
350,330000,248000,21495,1690000
351,330000,248000,21495,1690000
352,330000,248000,21495,1690000
353,330000,248000,21495,1690000
354,330000,248000,21495,1690000
355,330000,248000,21495,1690000
356,330000,248000,21495,1690000
357,330000,248000,21495,1690000
358,330000,248000,21495,1690000
359,330000,248000,21495,1690000
360,330000,248000,21495,1690000
361,330000,248000,21495,1690000
362,330000,248000,21495,1690000
363,330000,248000,21495,1690000
364,330000,248000,21495,1690000
365,330000,248000,21495,1690000
366,330000,248000,21495,1690000
